"parkingSpaces","size","alarmSystem","gameRoom","furnished","securityCabin","pipedGas","propertyPrice","playGround","swimmingPool","barbecueGrill","score","latitude","longitude","bedrooms","monthlyFees","rentalPrice","propertyType","steamRoom","gym","neighborhood","id","suites","permanentDoorman","m2RentalPrice","link"
3,200,"False","True","True","True","True",0,"True","False","False",118,-19.9486102,-43.9564654,4,1210,2800,"apartamento","False","False","luxemburgo",687052,1,"False",14,"https://www.netimoveis.com/imovel/dummy/687052"
2,200,"False","False","False","False","True",0,"False","False","False",118,-19.96276,-43.9303704,4,1000,3000,"apartamento","False","False","sion",590684,1,"False",15,"https://www.netimoveis.com/imovel/dummy/590684"
1,85,"False","False","False","False","True",0,"False","False","False",117.29,-19.9597041,-43.9661321,3,432,1200,"apartamento","False","False","estoril",648722,1,"True",14.1176470588235,"https://www.netimoveis.com/imovel/dummy/648722"
2,211.39,"False","True","False","False","False",8e+05,"True","True","True",117,-19.9802774,-43.9746319,4,600,3100,"apartamento","False","True","buritis",696277,2,"True",14.6648375041393,"https://www.netimoveis.com/imovel/dummy/696277"
1,85,"False","False","False","False","True",0,"False","False","False",116.57,-19.8748075,-43.936584,3,300,1300,"apartamento","False","False","santa-cruz",515925,1,"False",15.2941176470588,"https://www.netimoveis.com/imovel/dummy/515925"
1,85,"False","False","False","False","True",0,"False","False","False",116.57,-19.8748075,-43.936584,3,300,1300,"apartamento","False","False","palmares",515925,1,"False",15.2941176470588,"https://www.netimoveis.com/imovel/dummy/515925"
2,77.8,"False","False","False","False","True",0,"False","False","False",116.29,-19.9596606,-43.9695039,2,140,1100,"apartamento","False","False","havai",667853,1,"False",14.1388174807198,"https://www.netimoveis.com/imovel/dummy/667853"
2,80.18,"False","False","False","False","True",0,"False","False","False",116.29,-19.902446,-43.9279177,3,270,1400,"apartamento","False","False","sagrada-familia",171644,1,"False",17.4607133948616,"https://www.netimoveis.com/imovel/dummy/171644"
1,90,"False","False","False","False","False",0,"False","False","False",116.05,-19.8885862,-43.9237501,3,200,1400,"apartamento","False","False","cidade-nova",636155,1,"False",15.5555555555556,"https://www.netimoveis.com/imovel/dummy/636155"
1,62,"False","False","False","False","False",0,"False","False","False",115.86,-19.8741007,-43.9381417,2,200,700,"apartamento","False","False","santa-cruz",598690,0,"False",11.2903225806452,"https://www.netimoveis.com/imovel/dummy/598690"
